Basic_signal,Filtered_signal
0,0
-162,-0.00159109
-197,-0.0144558
-229,-0.0664689
-245,-0.210679
-254,-0.526172
-261,-1.11489
-265,-2.09621
-268,-3.60017
-268,-5.75997
-267,-8.70412
-265,-12.5487
-263,-17.3901
-260,-23.2986
-256,-30.313
-253,-38.4368
-249,-47.6357
-247,-57.8368
-245,-68.9297
-243,-80.7688
-241,-93.1779
-238,-105.955
-236,-118.879
-234,-131.716
-232,-144.23
-231,-156.185
-230,-167.359
-229,-177.547
-229,-186.57
-229,-194.278
-229,-200.56
-230,-205.34
-230,-208.586
-230,-210.307
-229,-210.552
-229,-209.408
-227,-206.996
-225,-203.468
-221,-198.999
-218,-193.778
-215,-188.007
-213,-181.888
-213,-175.619
-213,-169.385
-212,-163.354
-211,-157.673
-210,-152.463
-209,-147.813
-206,-143.785
-203,-140.408
-201,-137.68
-198,-135.571
-198,-134.023
-200,-132.955
-204,-132.269
-210,-131.855
-216,-131.594
-224,-131.369
-233,-131.069
-243,-130.593
-253,-129.86
-262,-128.809
-270,-127.405
-275,-125.639
-281,-123.532
-286,-121.13
-291,-118.504
-292,-115.747
-289,-112.968
-282,-110.29
-273,-107.84
-264,-105.743
-259,-104.117
-255,-103.065
-250,-102.671
-246,-102.993
-241,-104.064
-237,-105.888
-233,-108.439
-229,-111.662
-226,-115.476
-222,-119.775
-219,-124.435
-216,-129.313
-213,-134.259
-209,-139.117
-204,-143.731
-195,-147.952
-187,-151.643
-179,-154.682
-172,-156.964
-169,-158.407
-166,-158.953
-164,-158.57
-161,-157.252
-159,-155.02
-157,-151.92
-156,-148.023
-154,-143.42
-153,-138.222
-153,-132.553
-154,-126.546
-155,-120.343
-157,-114.083
-159,-107.905
-160,-101.94
-162,-96.307
-164,-91.1123
-166,-86.4444
-167,-82.3734
-169,-78.9484
-170,-76.1979
-171,-74.1289
-174,-72.7285
-177,-71.9646
-177,-71.7886
-171,-72.1378
-158,-72.9377
-121,-74.1042
-66,-75.5439
11,-77.1522
109,-78.8095
219,-80.3751
331,-81.6802
434,-82.5212
519,-82.6563
575,-81.8048
593,-79.6532
578,-75.8667
533,-70.1077
440,-62.0592
329,-51.4519
213,-38.0942
99,-21.8998
-3,-2.91107
-88,18.6848
-153,42.5488
-189,68.1936
-210,94.9963
-222,122.221
-230,149.049
-237,174.613
-243,198.033
-248,218.454
-253,235.083
-256,247.22
-260,254.287
-263,255.853
-266,251.653
-267,241.595
-266,225.77
-264,204.445
-259,178.059
-254,147.203
-249,112.605
-244,75.0997
-238,35.6057
-231,-4.91048
-224,-45.4647
-216,-85.0885
-207,-122.86
-199,-157.935
-191,-189.57
-183,-217.145
-176,-240.183
-170,-258.358
-164,-271.505
-159,-279.615
-155,-282.836
-150,-281.457
-143,-275.9
-137,-266.69
-129,-254.443
-122,-239.832
-114,-223.567
-104,-206.361
-92,-188.91
-77,-171.861
-64,-155.795
-52,-141.203
-39,-128.473
-27,-117.879
-14,-109.57
-1,-103.577
9,-99.8088
18,-98.0662
26,-98.0505
34,-99.3815
42,-101.616
49,-104.27
53,-106.84
56,-108.823
58,-109.744
61,-109.173
64,-106.742
67,-102.165
70,-95.2435
72,-85.8802
73,-74.0786
73,-59.9444
73,-43.6807
72,-25.58
71,-6.01287
69,14.5861
66,35.7351
62,56.9224
58,77.6258
53,97.3308
49,115.549
45,131.835
39,145.803
30,157.136
21,165.598
14,171.042
7,173.409
0,172.731
-7,169.127
-13,162.795
-14,154.007
-10,143.094
-4,130.437
0,116.452
2,101.575
5,86.2518
7,70.918
10,55.9888
14,41.8449
18,28.8208
22,17.1961
25,7.18851
28,-1.05128
30,-7.44128
31,-11.9681
32,-14.6843
33,-15.7035
35,-15.1934
37,-13.3672
39,-10.4737
41,-6.7853
42,-2.58742
43,1.83396
45,6.20321
47,10.2657
49,13.7968
52,16.6105
54,18.5647
56,19.5664
59,19.5732
61,18.5939
65,16.6866
68,13.9546
73,10.5419
78,6.62554
87,2.40863
96,-1.88846
103,-6.0366
